Price of Maize per KG in Mombasa

Date,Price
January-2006,16.129999999999992
February-2006,16.410000000000004
March-2006,16.980000000000004
June-2006,20.099999999999994
July-2006,19.920000000000005
September-2006,11.770000000000001
October-2006,12.489999999999995
November-2006,12.679999999999998
December-2006,12.73
January-2007,11.660000000000004
February-2007,12.24
April-2007,11.690000000000001
May-2007,11.64
June-2007,13.159999999999995
July-2007,13.200000000000003
August-2007,13.169999999999998
September-2007,13.630000000000003
October-2007,13.119999999999994
December-2007,14.09
February-2008,15.02
March-2008,15.529999999999998
April-2008,17.179999999999993
August-2008,22.78999999999999
September-2008,22.409999999999993
November-2008,25.889999999999997
December-2008,25.65000000000001
January-2009,25.589999999999975
February-2009,29.12999999999999
March-2009,28.179999999999993
August-2009,23.380000000000003
September-2009,22.530000000000005
October-2009,24.609999999999992
November-2009,25.42
December-2009,25.14
January-2010,25.209999999999987
February-2010,23.07000000000003
March-2010,21.230000000000008
June-2010,16.810000000000006
July-2010,15.500000000000002
August-2010,15.25
September-2010,14.85
October-2010,13.139999999999999
January-2011,17.240000000000002
March-2011,24.509999999999987
May-2011,35.63000000000002
June-2011,38.640000000000015
July-2011,43.910000000000004
September-2011,32.869999999999976
October-2011,32.64000000000003
November-2011,35.019999999999975
December-2011,35.83
January-2012,35.330000000000005
May-2012,37.279999999999994
February-2013,35.24
March-2013,32.43999999999999
June-2013,35.19999999999999
January-2014,38.43999999999999
February-2014,35.06
April-2014,39.30000000000004
May-2014,39.96999999999999
July-2014,39.50000000000004
August-2014,35.74999999999999
September-2014,30.229999999999976
October-2014,27.080000000000002
November-2014,25.330000000000005
December-2014,25.79
January-2016,30.23
April-2016,29.19
May-2016,28.86
June-2016,29.85
July-2016,31.939999999999998
August-2016,33.95
September-2016,30.870000000000008
December-2016,33.02
January-2017,37.67000000000001
February-2017,40.91999999999997
May-2017,55.69000000000001
June-2017,51.83999999999999
August-2017,38.85000000000003
September-2017,33.79999999999998
October-2017,32.39
November-2017,32.689999999999955
January-2018,32.190000000000005
March-2018,29.08
April-2018,28.36999999999999
May-2018,28.25
June-2018,29.820000000000004
July-2018,28.540000000000006
August-2018,23.44
September-2018,23.049999999999997
October-2018,20.229999999999997
November-2018,23.29
December-2018,25.970000000000006
February-2019,25.36999999999999
March-2019,25.819999999999947
April-2019,34.84
June-2019,39.13000000000002
August-2019,40.449999999999996
September-2019,41.00000000000002
October-2019,40.95000000000003
January-2020,37.10000000000003
January-2021,35.130000000000024
April-2021,34.34000000000003
June-2021,33.05999999999983
August-2021,32.00000000000021
October-2021,35.05000000000024
November-2021,20.09999999999981
