Price of Maize per KG in Eldoret town (Uasin Gishu)

Date,Price
January-2006,12.96
February-2006,13.120000000000001
March-2006,13.309999999999999
April-2006,14.190000000000001
May-2006,15.580000000000002
June-2006,17.029999999999998
July-2006,16.560000000000006
October-2006,11.769999999999992
November-2006,10.899999999999999
January-2007,10.710000000000003
March-2007,10.8
May-2007,12.540000000000001
June-2007,13.149999999999997
July-2007,13.110000000000007
August-2007,13.019999999999996
October-2007,13.269999999999996
November-2007,13.54
December-2007,13.18
April-2008,15.499999999999996
May-2008,19.28
August-2008,19.98999999999999
September-2008,24.69
December-2008,17.51000000000001
January-2009,17.52999999999999
February-2009,23.639999999999993
March-2009,29.529999999999998
April-2009,28.96
June-2009,28.65
July-2009,30.090000000000007
August-2009,33.790000000000006
December-2009,23.89
January-2010,24.17999999999999
February-2010,22.04000000000003
March-2010,21.45
June-2010,21.120000000000005
July-2010,12.600000000000003
November-2010,12.790000000000003
December-2010,13.350000000000001
February-2011,19.14
March-2011,21.799999999999997
April-2011,26.199999999999996
May-2011,34.209999999999994
June-2011,36.660000000000004
July-2011,48.52000000000002
August-2011,40
September-2011,33.19
November-2011,34.489999999999995
December-2011,32.89000000000001
January-2012,32.49000000000001
February-2012,31.049999999999983
March-2012,30.859999999999992
April-2012,29.919999999999998
July-2012,35.22
October-2012,29.1
December-2012,27.189999999999998
January-2013,27.089999999999996
March-2013,29.539999999999992
April-2013,29.85000000000001
May-2013,31.690000000000005
June-2013,29.270000000000003
July-2013,27.819999999999993
September-2013,30.53000000000001
October-2013,31.520000000000003
November-2013,30.04
December-2013,29.210000000000015
January-2014,29.849999999999998
March-2014,31.53
April-2014,33.750000000000036
May-2014,35.72999999999998
June-2014,36.39999999999999
July-2014,36.39000000000001
November-2014,23.96
December-2014,22.21000000000001
February-2015,24.859999999999996
March-2015,24.82
May-2015,28.249999999999996
June-2015,33.17
July-2015,33.139999999999986
August-2015,35.98
September-2015,27.18000000000001
October-2015,24.769999999999992
November-2015,23.61
February-2016,27.97
March-2016,25.930000000000007
April-2016,27.340000000000003
June-2016,29.209999999999994
July-2016,31.919999999999998
September-2016,27.339999999999993
October-2016,27.99
December-2016,29.540000000000003
March-2017,38.61
April-2017,46.41
May-2017,46.08000000000001
June-2017,48.38999999999999
July-2017,38.14999999999999
August-2017,37.71000000000001
November-2017,29.989999999999984
December-2017,27.75
February-2018,29.070000000000007
March-2018,29.500000000000004
April-2018,29.099999999999987
May-2018,29.000000000000004
July-2018,21.220000000000013
August-2018,16.84
September-2018,15.280000000000005
October-2018,15.13
December-2018,18.970000000000006
March-2019,19.799999999999994
April-2019,25.509999999999998
May-2019,33.22999999999998
July-2019,34.04999999999998
September-2019,33.98
October-2019,31.30000000000002
November-2019,34.74
January-2020,34.520000000000024
March-2020,31.420000000000012
June-2020,34.89000000000001
August-2020,31.250000000000007
September-2020,28.88
November-2020,24.14
December-2020,25.139999999999997
January-2021,24.54000000000001
March-2021,25.179999999999826
July-2021,29.000000000000142
August-2021,29.000000000000057
October-2021,28.680000000000078
November-2021,24.899999999999864
February-2022,36.03000000000001
March-2022,33.43
April-2022,37.88
