Price of Maize per KG in Nairobi

Date,Price
January-2006,15.48
February-2006,16.410000000000004
March-2006,16.909999999999997
April-2006,17.020000000000003
June-2006,16.959999999999994
August-2006,17.5
September-2006,14.800000000000002
October-2006,14.339999999999993
November-2006,14.189999999999996
December-2006,13.34
February-2007,14.69
March-2007,13.27
April-2007,12.710000000000004
May-2007,13.530000000000001
June-2007,13.169999999999996
July-2007,13.400000000000006
August-2007,13.169999999999998
October-2007,13.429999999999996
November-2007,13.68
January-2008,15.01
April-2008,16.039999999999996
May-2008,20.46
June-2008,23.499999999999996
July-2008,21.07
October-2008,25.110000000000003
November-2008,27.459999999999997
January-2009,23.369999999999976
February-2009,26.18999999999999
May-2009,33.27000000000001
July-2009,28.05
September-2009,28.390000000000004
October-2009,25.819999999999993
December-2009,29.28
January-2010,27.279999999999994
February-2010,23.520000000000017
March-2010,22.69
May-2010,19.200000000000003
September-2010,16.71
November-2010,16.990000000000002
January-2011,16.800000000000004
February-2011,20.92
March-2011,23.389999999999997
May-2011,32.96999999999999
September-2011,33.99999999999997
October-2011,33.630000000000024
December-2011,35.72000000000001
February-2012,30.199999999999964
March-2012,29.499999999999993
May-2012,35.96
June-2012,38.31000000000001
July-2012,35.59
October-2012,37.82999999999999
November-2012,37.86000000000001
December-2012,33.95
April-2013,31
May-2013,31.420000000000005
June-2013,32.00999999999998
July-2013,31.229999999999997
August-2013,29.310000000000006
October-2013,33.7
December-2013,34.05000000000001
January-2014,32.69999999999998
April-2014,33.04000000000002
May-2014,35.87
June-2014,34.99999999999999
July-2014,28.39000000000003
August-2014,25.93999999999999
September-2014,29.289999999999992
October-2014,26.120000000000005
November-2014,25.57
March-2015,25.57
April-2015,32.76999999999999
May-2015,35.400000000000006
June-2015,35.56
July-2015,36.91999999999997
September-2015,35.690000000000005
October-2015,33.17999999999999
November-2015,32.470000000000006
December-2015,31.769999999999996
March-2016,30.43000000000002
April-2016,31.05
November-2016,31.999999999999993
January-2017,31.860000000000007
February-2017,40.51999999999998
August-2017,45.580000000000034
January-2018,42.27000000000001
February-2018,36.86000000000001
May-2018,32.64
July-2018,30.190000000000012
November-2018,23.43
February-2019,27.079999999999984
March-2019,26.129999999999978
April-2019,31.299999999999994
May-2019,34.739999999999974
June-2019,26.85000000000001
July-2019,45.28999999999998
August-2019,37.71
September-2019,36.45000000000001
October-2019,41.26000000000002
November-2019,39.910000000000004
March-2020,31.38000000000001
April-2020,34.66
July-2020,31.960000000000008
August-2020,42.455
September-2020,33.17
January-2021,35.05000000000001
February-2021,35.92000000000002
March-2021,35.94999999999996
April-2021,33.5900000000001
May-2021,33.12999999999974
June-2021,32.82999999999984
July-2021,34.000000000000114
August-2021,34.00000000000023
September-2021,33.81000000000016
October-2021,32.2300000000003
February-2022,40.04000000000005
March-2022,25.03
