Price of Maize per KG in Kisumu

Date,Price
January-2006,14.84
February-2006,17.83
March-2006,14.749999999999998
April-2006,16.6
May-2006,18.770000000000003
June-2006,19.299999999999997
July-2006,17.26000000000001
August-2006,15.240000000000002
September-2006,13.600000000000001
November-2006,13.999999999999998
January-2007,15.470000000000002
April-2007,13.300000000000004
July-2007,14.750000000000007
August-2007,15.359999999999996
September-2007,13.960000000000003
May-2008,25.54
June-2008,23.519999999999996
July-2008,24.78
December-2008,29.44000000000001
January-2009,29.42999999999998
February-2009,30.389999999999993
March-2009,30.559999999999995
May-2009,28.410000000000004
June-2009,26.04
July-2009,26.51000000000001
August-2009,31.880000000000003
September-2009,26.370000000000005
November-2009,26.189999999999998
January-2010,26.40999999999999
February-2010,25.71000000000003
May-2010,18.72
June-2010,18.860000000000003
July-2010,16.42
October-2010,18.15
November-2010,19.410000000000004
December-2010,19.1
January-2011,18.890000000000008
February-2011,22.04
March-2011,25.10999999999998
April-2011,33.22999999999999
June-2011,44.010000000000005
July-2011,53.03000000000001
August-2011,43.629999999999995
September-2011,35.949999999999974
October-2011,34.56000000000002
November-2011,38.47999999999998
February-2012,38.14999999999996
April-2012,34.959999999999994
May-2012,38.65999999999999
June-2012,44.26
September-2012,32.61999999999999
October-2012,31.68
November-2012,32.190000000000005
March-2013,33.46999999999999
April-2013,34.52
June-2013,31.859999999999975
July-2013,31.139999999999993
August-2013,31.030000000000005
September-2013,33.11000000000001
October-2013,34.980000000000004
November-2013,35.18
December-2013,35.06000000000001
January-2014,35.06999999999997
March-2014,35
April-2014,35.10000000000002
May-2014,35.089999999999996
June-2014,37.88999999999999
July-2014,40.010000000000005
August-2014,40.03999999999999
September-2014,40.08999999999999
November-2014,35.45
December-2014,30.750000000000007
January-2015,30.12
February-2015,30.239999999999995
March-2015,30.22
April-2015,36.10999999999998
May-2015,35.47
July-2015,30.67999999999998
August-2015,30.04
September-2015,28.23000000000001
November-2015,30.68
December-2015,31.120000000000005
February-2016,30.33
March-2016,30.10000000000001
May-2016,32.3
June-2016,34.99999999999999
August-2016,34.95
September-2016,35.00999999999999
October-2016,34.99000000000001
November-2016,35.00999999999999
February-2017,41.829999999999984
April-2017,53.95
June-2017,60.019999999999996
July-2017,48.82999999999999
September-2017,39.709999999999994
October-2017,38.13000000000001
November-2017,35.62999999999997
February-2018,35.01000000000001
March-2018,36.47999999999999
June-2018,30.880000000000003
July-2018,29.860000000000014
August-2018,25.670000000000005
September-2018,29.25
December-2018,30.720000000000006
January-2019,31.230000000000004
February-2019,28.23999999999998
March-2019,28.20999999999996
April-2019,33.84
May-2019,45.04999999999995
September-2019,40.43999999999999
February-2020,48.02000000000001
March-2020,48.790000000000035
February-2022,35.59000000000023
