Price of Maize per KG in Nakuru

Date,Price
February-2008,12.7
March-2008,13.479999999999999
April-2008,16.019999999999996
July-2008,21.82
August-2008,22.55999999999999
September-2008,22.31
October-2008,24.060000000000002
November-2008,24.089999999999996
January-2009,21.93999999999999
February-2009,24.599999999999994
May-2009,30.470000000000002
July-2009,27.870000000000008
August-2009,31.300000000000004
October-2009,24.669999999999995
November-2009,24.579999999999995
January-2010,24.739999999999988
February-2010,23.95000000000003
May-2010,19
June-2010,16.610000000000003
July-2010,15.490000000000004
September-2010,13.079999999999998
October-2010,12.469999999999999
November-2010,13.360000000000003
January-2011,14.040000000000006
March-2011,20.609999999999996
May-2011,30.359999999999992
July-2011,40.87000000000001
August-2011,36.84
September-2011,33.33
October-2011,30.830000000000013
November-2011,31.359999999999992
December-2011,32.99000000000001
January-2012,31.990000000000002
February-2012,27.819999999999983
March-2012,29.679999999999993
April-2012,31.949999999999996
May-2012,36.03999999999999
June-2012,36.52
July-2012,37.64
September-2012,32.85999999999999
October-2012,31.42
November-2012,28.540000000000006
December-2012,27.079999999999995
January-2013,29.569999999999997
February-2013,28.64
April-2013,29.400000000000006
May-2013,29.600000000000005
August-2013,28.340000000000003
September-2013,32.13000000000001
December-2013,28.850000000000016
January-2014,29.159999999999997
February-2014,28.86
March-2014,29.58
April-2014,31.710000000000036
May-2014,34.72999999999998
June-2014,34.71999999999999
July-2014,32.07000000000001
September-2014,26.079999999999984
December-2014,24.12000000000001
April-2015,28.289999999999978
May-2015,31.689999999999998
June-2015,28.560000000000002
July-2015,29.839999999999982
August-2015,27.78
September-2015,24.010000000000012
October-2015,24.619999999999994
November-2015,24.54
December-2015,24.360000000000003
March-2016,25.430000000000007
April-2016,25.670000000000005
May-2016,26.53
June-2016,27.07999999999999
July-2016,28.769999999999996
August-2016,29.980000000000004
September-2016,29.409999999999993
October-2016,27.69
December-2016,29.810000000000002
January-2017,35.93000000000001
February-2017,35.80999999999999
March-2017,46.55
April-2017,47.58
May-2017,47.280000000000015
July-2017,34.059999999999995
August-2017,31.390000000000008
September-2017,29.739999999999988
October-2017,29.270000000000003
November-2017,27.189999999999987
December-2017,24.75
January-2018,26.17000000000001
February-2018,26.960000000000008
March-2018,26.770000000000003
April-2018,24.289999999999985
May-2018,23.560000000000002
July-2018,23.000000000000014
August-2018,16.99
September-2018,15.980000000000006
October-2018,15.1
December-2018,17.650000000000006
January-2019,17.720000000000002
February-2019,18.249999999999996
March-2019,19.839999999999993
April-2019,29.099999999999998
May-2019,35.149999999999984
June-2019,35.60000000000001
July-2019,36.33999999999999
August-2019,41.74
September-2019,33.51
October-2019,30.500000000000018
November-2019,31.07
December-2019,29.74
January-2020,31.020000000000017
February-2020,31.020000000000003
March-2020,31.31000000000001
April-2020,37.55
May-2020,37.33
June-2020,37.040000000000006
July-2020,32.81000000000001
August-2020,32.24000000000001
September-2020,28.62
October-2020,28.52
November-2020,25.42
December-2020,26.879999999999995
January-2021,27.01000000000002
February-2021,27.330000000000098
March-2021,27.619999999999877
April-2021,28.929999999999993
May-2021,30.089999999999975
June-2021,27.759999999999906
July-2021,30.000000000000142
August-2021,30.000000000000043
September-2021,29.88000000000006
February-2022,34.150000000000034
April-2022,35.88
